2026-01-23T16:07:29.291-0800	INFO	livekit	server/main.go:212	starting in development mode
2026-01-23T16:07:29.292-0800	INFO	livekit	server/main.go:215	no keys provided, using placeholder keys	{"API Key": "devkey", "API Secret": "secret"}
2026-01-23T16:07:29.292-0800	INFO	livekit	routing/interfaces.go:180	using single-node routing
2026-01-23T16:07:29.294-0800	INFO	livekit	service/server.go:264	starting LiveKit server	{"portHttp": 7880, "nodeID": "ND_xLjy87pnsAug", "nodeIP": "192.168.86.29", "version": "1.9.9", "bindAddresses": ["127.0.0.1", "::1"], "rtc.portTCP": 7881, "rtc.portUDP": {"Start":7882,"End":0}}
2026-01-23T16:07:29.294-0800	DEBUG	livekit	service/signal.go:119	starting relay signal server	{"topic": "ND_xLjy87pnsAug"}
2026-01-23T16:07:34.249-0800	INFO	livekit.agents	service/agentservice.go:298	worker registered	{"namespace": "", "jobType": "JT_ROOM", "agentName": "", "workerID": "AW_AL6xH3egxFxk"}
2026-01-23T16:07:44.504-0800	DEBUG	livekit	routing/signal.go:101	starting signal connection	{"room": "test-room", "reqNodeID": "ND_xLjy87pnsAug", "participant": "User", "connID": "CO_38weKhxdzxGA", "participantInit": {"Identity":"User","Name":"","Reconnect":false,"ReconnectReason":0,"AutoSubscribe":true,"Client":{"sdk":1,"version":"2.16.1","protocol":16,"os":"Mac OS X","os_version":"10.15.7","device_model":"Mac","browser":"Chrome","browser_version":"143.0.0","address":"::1"},"Grants":{"identity":"User","video":{"roomJoin":true,"room":"test-room","canPublish":true,"canSubscribe":true}},"Region":"","AdaptiveStream":true,"ID":"","SubscriberAllowPause":null,"DisableICELite":false,"CreateRoom":{"name":"test-room"},"AddTrackRequests":null,"PublisherOffer":null,"SyncState":null,"UseSinglePeerConnection":false}, "startSession": {"roomName": "test-room", "identity": "User", "connectionId": "CO_38weKhxdzxGA", "autoSubscribe": true, "client": {"sdk": "JS", "version": "2.16.1", "protocol": 16, "os": "Mac OS X", "osVersion": "10.15.7", "deviceModel": "Mac", "browser": "Chrome", "browserVersion": "143.0.0", "address": "::1"}, "grantsJson": "{\"identity\":\"User\",\"video\":{\"roomJoin\":true,\"room\":\"test-room\",\"canPublish\":true,\"canSubscribe\":true}}", "adaptiveStream": true, "reconnectReason": "RR_UNKNOWN", "createRoom": {"name": "test-room"}}}
2026-01-23T16:07:44.511-0800	INFO	livekit	service/roommanager.go:410	starting RTC session	{"room": "test-room", "roomID": "RM_NWWe9PBEZDsB", "participant": "User", "pID": "PA_4Jp57eSJ3qGS", "remote": false, "room": "test-room", "nodeID": "ND_xLjy87pnsAug", "numParticipants": 0, "participantInit": {"Identity": "User", "Reconnect": false, "ReconnectReason": "RR_UNKNOWN", "AutoSubscribe": true, "Client": {"sdk": "JS", "version": "2.16.1", "protocol": 16, "os": "Mac OS X", "osVersion": "10.15.7", "deviceModel": "Mac", "browser": "Chrome", "browserVersion": "143.0.0"}, "Grants": {"Identity": "User", "Kind": "", "KindDetails": [], "Video": {"RoomCreate": false, "RoomList": false, "RoomRecord": false, "RoomAdmin": false, "RoomJoin": true, "Room": "test-room", "CanPublish": true, "CanSubscribe": true, "CanPublishData": "not-set", "CanPublishSources": [], "CanUpdateOwnMetadata": "not-set", "IngressAdmin": false, "Hidden": false, "Recorder": false, "Agent": false, "CanSubscribeMetrics": "not-set", "DestinationRoom": ""}, "SIP": {}, "Agent": {}, "Inference": {}, "Observability": {}, "RoomConfig": {}, "RoomPreset": ""}, "Region": "", "AdaptiveStream": true, "ID": "", "SubscriberAllowPause": "not-set", "DisableICELite": false, "CreateRoom": {"name": "test-room"}, "AddTrackRequests": [], "PublisherOffer": {}, "SyncState": {}, "UseSinglePeerConnection": false}}
2026-01-23T16:07:44.512-0800	DEBUG	livekit	rtc/participant.go:3806	setup enabled codecs	{"room": "test-room", "roomID": "RM_NWWe9PBEZDsB", "participant": "User", "pID": "PA_4Jp57eSJ3qGS", "remote": false, "publish": [{"mime": "video/VP8"}, {"mime": "video/H264"}, {"mime": "video/VP9"}, {"mime": "video/AV1"}, {"mime": "video/H265"}, {"mime": "video/rtx"}, {"mime": "audio/PCMU"}, {"mime": "audio/PCMA"}, {"mime": "audio/opus"}, {"mime": "audio/red"}], "subscribe": [{"mime": "audio/PCMU"}, {"mime": "audio/PCMA"}, {"mime": "audio/opus"}, {"mime": "audio/red"}, {"mime": "video/VP8"}, {"mime": "video/H264"}, {"mime": "video/VP9"}, {"mime": "video/AV1"}, {"mime": "video/H265"}, {"mime": "video/rtx"}], "disabled": {}}
2026-01-23T16:07:44.523-0800	INFO	livekit.transport	rtc/transport.go:1180	data tracks not enabled	{"room": "test-room", "roomID": "RM_NWWe9PBEZDsB", "participant": "User", "pID": "PA_4Jp57eSJ3qGS", "remote": false, "transport": "SUBSCRIBER"}
2026-01-23T16:07:44.524-0800	DEBUG	livekit.room	rtc/room.go:470	new participant joined	{"room": "test-room", "roomID": "RM_NWWe9PBEZDsB", "pID": "PA_4Jp57eSJ3qGS", "participant": "User", "clientInfo": {"sdk": "JS", "version": "2.16.1", "protocol": 16, "os": "Mac OS X", "osVersion": "10.15.7", "deviceModel": "Mac", "browser": "Chrome", "browserVersion": "143.0.0", "address": "::1"}, "options": {"AutoSubscribe":true}, "numParticipants": 0}
2026-01-23T16:07:44.524-0800	DEBUG	livekit	signalling/signallerasync.go:105	sent signal response	{"room": "test-room", "roomID": "RM_NWWe9PBEZDsB", "participant": "User", "pID": "PA_4Jp57eSJ3qGS", "remote": false, "response": {"join": {"room": {"sid": "RM_NWWe9PBEZDsB", "name": "test-room", "emptyTimeout": 300, "departureTimeout": 20, "creationTime": 1769213264, "creationTimeMs": 1769213264508, "turnPassword": "2YIyarPfc0eR6HcKspd4q6PeF4WxS6sVqMnZlCM5By0A", "enabledCodecs": [{"mime": "audio/PCMU"}, {"mime": "audio/PCMA"}, {"mime": "audio/opus"}, {"mime": "audio/red"}, {"mime": "video/VP8"}, {"mime": "video/H264"}, {"mime": "video/VP9"}, {"mime": "video/AV1"}, {"mime": "video/H265"}, {"mime": "video/rtx"}]}, "participant": {"sid": "PA_4Jp57eSJ3qGS", "identity": "User", "state": "JOINING", "joinedAt": 1769213264, "joinedAtMs": 1769213264511, "permission": {"canSubscribe": true, "canPublish": true, "canPublishData": true}, "kind": "STANDARD", "disconnectReason": "UNKNOWN_REASON"}, "serverVersion": "1.9.9", "iceServers": [{"urls": ["stun:global.stun.twilio.com:3478", "stun:stun.l.google.com:19302", "stun:stun1.l.google.com:19302"]}], "subscriberPrimary": true, "pingTimeout": 15, "pingInterval": 5, "serverInfo": {"edition": "Standard", "version": "1.9.9", "protocol": 16, "nodeId": "ND_xLjy87pnsAug", "agentProtocol": 1}, "sifTrailer": "RHJmRnM3dUI1bUZSdGxoZ1ZGRTNzUGFVV29IMXptUWZsWjdFM3ZFd0JVUQ", "enabledPublishCodecs": [{"mime": "video/VP8"}, {"mime": "video/H264"}, {"mime": "video/VP9"}, {"mime": "video/AV1"}, {"mime": "video/H265"}, {"mime": "audio/PCMU"}, {"mime": "audio/PCMA"}, {"mime": "audio/opus"}, {"mime": "audio/red"}], "fastPublish": true}}}
2026-01-23T16:07:44.525-0800	DEBUG	livekit	rtc/participant.go:2093	updating participant state	{"room": "test-room", "roomID": "RM_NWWe9PBEZDsB", "participant": "User", "pID": "PA_4Jp57eSJ3qGS", "remote": false, "state": "JOINED"}
